,r2_score_b_label,mean_squared_error_b_label,mean,std,task,embedding_model
LinearRegression,-0.02297706024905266,0.12943676822684858,0.05322985398889796,0.07620691423795062,b,PlanTL-GOB-ES/roberta-base-bne
RandomForestRegressor,0.58040934518647,0.05309059259259259,0.31674996888953133,0.2636593762969387,b,PlanTL-GOB-ES/roberta-base-bne
LGBMRegressor,0.5115327543802843,0.0618055126693588,0.2866691335248216,0.22486362085546277,b,PlanTL-GOB-ES/roberta-base-bne
GradientBoostingRegressor,0.5309618303673362,0.05934716154583937,0.2951544959565878,0.23580733441074844,b,PlanTL-GOB-ES/roberta-base-bne
AdaBoostRegressor,0.5594851346109654,0.0557381223367415,0.3076116284738534,0.2518735061371119,b,PlanTL-GOB-ES/roberta-base-bne
SVR,0.5649798094582847,0.055042883917102624,0.3100113466876937,0.25496846277059104,b,PlanTL-GOB-ES/roberta-base-bne
MLPRegressor,0.42934677713783775,0.07220446265679813,0.25077561989731795,0.1785711572405198,b,PlanTL-GOB-ES/roberta-base-bne
Lasso,-0.008020749481816525,0.12754435381646467,0.059761802167324074,0.0677825516491406,b,PlanTL-GOB-ES/roberta-base-bne
Ridge,0.5207120595570014,0.060644059844255395,0.2906780597006284,0.230033999856373,b,PlanTL-GOB-ES/roberta-base-bne
LinearRegression,0.24023074272839295,0.09613321850580663,0.1681819806170998,0.07204876211129316,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
RandomForestRegressor,0.4642774392888116,0.06778470370370371,0.26603107149625765,0.19824636779255395,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
LGBMRegressor,0.37399256688986426,0.07920840278474474,0.2266004848373045,0.14739208205255974,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
GradientBoostingRegressor,0.5216225575729772,0.060528854992412326,0.29107570628269475,0.2305468512902824,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
AdaBoostRegressor,0.40708780321424765,0.07502087932992839,0.24105434127208802,0.16603346194215962,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
SVR,0.4560908147569429,0.06882055315064416,0.26245568395379354,0.19363513080314937,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
MLPRegressor,0.2662201675758832,0.09284478977064545,0.17953247867326433,0.08668768890261887,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
Lasso,-0.008020749481816525,0.12754435381646467,0.059761802167324074,0.0677825516491406,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
Ridge,0.42725144279039584,0.07246958424830437,0.2498605135193501,0.17739092927104572,b,hackathon-somos-nlp-2023/roberta-base-bne-finetuned-suicide-es
LinearRegression,-0.14960707610248325,0.14545919986240471,-0.0020739381200392676,0.147533137982444,b,dccuchile/bert-base-spanish-wwm-cased
RandomForestRegressor,0.52317133564614,0.060332888888888915,0.29175211226751446,0.23141922337862558,b,dccuchile/bert-base-spanish-wwm-cased
LGBMRegressor,0.5254071753376235,0.06004998922751387,0.2927285822825687,0.2326785930550548,b,dccuchile/bert-base-spanish-wwm-cased
GradientBoostingRegressor,0.5748437890700091,0.05379479958324055,0.3143192943266248,0.2605244947433843,b,dccuchile/bert-base-spanish-wwm-cased
AdaBoostRegressor,0.6048785909575239,0.049994511344414246,0.3274365511509691,0.27744203980655485,b,dccuchile/bert-base-spanish-wwm-cased
SVR,0.5844362248492833,0.05258107355267779,0.31850864920098054,0.26592757564830277,b,dccuchile/bert-base-spanish-wwm-cased
MLPRegressor,0.31480038497053187,0.08669795952032666,0.20074917224542926,0.1140512127251026,b,dccuchile/bert-base-spanish-wwm-cased
Lasso,-0.008020749481816525,0.12754435381646467,0.059761802167324074,0.0677825516491406,b,dccuchile/bert-base-spanish-wwm-cased
Ridge,0.12871397579122523,0.11024337842663563,0.11947867710893043,0.0092352986822948,b,dccuchile/bert-base-spanish-wwm-cased
